request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_26,15656000.0,affordable_now,full_payment,2025-08-03:15656000,2025-08-03,none,"Pay IDR 15,656,000 today. This leaves at least IDR 71,109,410.78 available over the next 90 days."
request_27,6670.0,affordable_now,full_payment,2026-07-05:6670,2026-07-05,none,"Pay ZAR 6,670 today. This leaves at least ZAR 85,066.46 available over the next 90 days."
request_28,215.17,affordable_later,wait,2024-08-15:1302.4,2024-08-15,none,"Pay EUR 1,302.40 in full on 2024-08-15. Paying earlier would take the balance below the EUR 1,100 minimum."
request_29,51524.0,affordable_now,full_payment,2025-11-04:51524,2025-11-04,none,"Pay ZAR 51,524 today. This leaves at least ZAR 42,327.37 available over the next 90 days."
request_30,775.2,affordable_later,wait,2026-04-06:775.2,2026-04-06,none,Pay USD 775.20 in full on 2026-04-06. Paying earlier would take the balance below the USD 900 minimum.
request_31,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2024-11-15. None of the available options keeps the IDR 16,588,900 minimum protected."
request_32,1475.54,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-04-15. None of the available options keeps the ZAR 35,700 minimum protected."
request_33,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-03-15. None of the available options keeps the INR 102,100 minimum protected."
request_34,129400.0,affordable_now,full_payment,2024-12-04:129400,2024-12-04,none,"Pay INR 129,400 today. This leaves at least INR 418,221.68 available over the next 90 days."
request_35,24106.04,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-01-15. None of the available options keeps the INR 106,400 minimum protected."
request_36,728.82,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-09-15. None of the available options keeps the USD 2,400 minimum protected."
request_37,2830466.55,affordable_later,wait,2024-05-15:14649000,2024-05-15,none,"Pay IDR 14,649,000 in full on 2024-05-15. Paying earlier would take the balance below the IDR 17,056,200 minimum."
request_38,105.56,affordable_later,wait,2025-10-15:971.3,2025-10-15,none,Pay EUR 971.30 in full on 2025-10-15. Paying earlier would take the balance below the EUR 400 minimum.
request_39,19403.11,affordable_later,wait,2026-05-15:208600,2026-05-15,none,"Pay INR 208,600 in full on 2026-05-15. Paying earlier would take the balance below the INR 213,400 minimum."
request_40,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2024-08-15. None of the available options keeps the EUR 1,500 minimum protected."
request_41,10316285.75,affordable_later,wait,2025-12-15:38760000,2025-12-15,none,"Pay IDR 38,760,000 in full on 2025-12-15. Paying earlier would take the balance below the IDR 25,366,600 minimum."
request_42,52100.0,affordable_now,full_payment,2026-01-05:52100,2026-01-05,none,"Pay INR 52,100 today. This leaves at least INR 168,400.22 available over the next 90 days."
request_43,7548374.73,affordable_later,wait,2024-09-15:43339000,2024-09-15,none,"Pay IDR 43,339,000 in full on 2024-09-15. Paying earlier would take the balance below the IDR 21,398,000 minimum."
request_44,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-04-15. None of the available options keeps the INR 82,900 minimum protected."
request_45,1231321.55,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-09-15. None of the available options keeps the IDR 11,149,800 minimum protected."
request_46,32547.48,affordable_later,wait,2025-01-15:49450,2025-01-15,none,"Pay INR 49,450 in full on 2025-01-15. Paying earlier would take the balance below the INR 84,000 minimum."
request_47,38114000.0,affordable_now,full_payment,2025-05-05:38114000,2025-05-05,none,"Pay IDR 38,114,000 today. This leaves at least IDR 56,650,562.15 available over the next 90 days."
request_48,22152.5,affordable_later,wait,2026-10-15:45700,2026-10-15,none,"Pay INR 45,700 in full on 2026-10-15. Paying earlier would take the balance below the INR 71,300 minimum."
request_49,2332885.07,not_affordable,not_recommended,none,,none,"Do not make this payment by 2024-05-22. None of the available options keeps the IDR 20,275,700 minimum protected."
request_50,43900.0,affordable_now,full_payment,2025-08-06:43900,2025-08-06,none,"Pay INR 43,900 today. This leaves at least INR 154,456.19 available over the next 90 days."
request_51,2191000.0,affordable_now,full_payment,2026-01-03:2191000,2026-01-03,none,"Pay IDR 2,191,000 today. This leaves at least IDR 27,566,112.77 available over the next 90 days."
request_52,18573.86,affordable_later,wait,2024-06-15:28870,2024-06-15,none,"Pay INR 28,870 in full on 2024-06-15. Paying earlier would take the balance below the INR 41,500 minimum."
request_53,408.87,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-01-20. None of the available options keeps the USD 2,100 minimum protected."
request_54,3330.89,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-08-21. None of the available options keeps the ZAR 37,000 minimum protected."
request_55,73170.43,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-08-22. None of the available options keeps the INR 124,300 minimum protected."
request_56,395.4,affordable_with_plan,partial_payment,2025-02-03:395.4|2025-02-15:486.16,2025-02-15,none,"Pay USD 395.40 today and the remaining USD 486.16 on 2025-02-15. This completes the full request and keeps the USD 2,100 minimum protected."
request_57,6738.39,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-06-15. None of the available options keeps the ZAR 42,700 minimum protected."
request_58,16226000.0,affordable_now,full_payment,2024-12-07:16226000,2024-12-07,none,"Pay IDR 16,226,000 today. This leaves at least IDR 21,189,569.52 available over the next 90 days."
request_59,140600.0,affordable_later,wait,2025-05-04:140600,2025-05-04,none,"Pay INR 140,600 in full on 2025-05-04. Paying earlier would take the balance below the INR 132,600 minimum."
request_60,0.0,not_affordable,not_recommended,none,,none,Do not make this payment by 2026-03-04. None of the available options keeps the USD 400 minimum protected.
request_61,29062.0,affordable_later,wait,2024-03-03:29062,2024-03-03,none,"Pay ZAR 29,062 in full on 2024-03-03. Paying earlier would take the balance below the ZAR 36,700 minimum."
request_62,404.23,affordable_now,full_payment,2025-08-05:404.23,2025-08-05,none,"Pay USD 404.23 today. This leaves at least USD 4,477.88 available over the next 90 days."
request_63,25161.31,affordable_with_plan,partial_payment,2026-07-07:25161.31|2026-09-15:318738.69,2026-09-15,none,"Pay INR 25,161.31 today and the remaining INR 318,738.69 on 2026-09-15. This completes the full request and keeps the INR 153,500 minimum protected."
request_64,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2024-08-16. None of the available options keeps the INR 36,100 minimum protected."
request_65,5787.42,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-11-25. None of the available options keeps the ZAR 15,500 minimum protected."
request_66,22200.0,affordable_now,full_payment,2026-04-03:22200,2026-04-03,none,"Pay INR 22,200 today. This leaves at least INR 243,816.26 available over the next 90 days."
request_67,258.96,affordable_later,wait,2024-10-15:2094,2024-10-15,none,"Pay USD 2,094 in full on 2024-10-15. Paying earlier would take the balance below the USD 1,200 minimum."
request_68,977.43,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-04-16. None of the available options keeps the USD 1,500 minimum protected."
request_69,266.06,affordable_later,wait,2026-03-15:529.1,2026-03-15,none,Pay EUR 529.10 in full on 2026-03-15. Paying earlier would take the balance below the EUR 700 minimum.
request_70,36362.44,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-02-15. None of the available options keeps the INR 115,000 minimum protected."
request_71,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-05-28. None of the available options keeps the IDR 8,884,800 minimum protected."
request_72,6081.55,affordable_later,wait,2026-09-15:11330,2026-09-15,none,"Pay ZAR 11,330 in full on 2026-09-15. Paying earlier would take the balance below the ZAR 12,200 minimum."
request_73,50453.09,affordable_later,wait,2023-04-15:71400,2023-04-15,none,"Pay INR 71,400 in full on 2023-04-15. Paying earlier would take the balance below the INR 103,200 minimum."
request_74,5010.0,affordable_now,full_payment,2025-08-04:5010,2025-08-04,none,"Pay ZAR 5,010 today. This leaves at least ZAR 62,866.64 available over the next 90 days."
request_75,28270.0,affordable_later,wait,2026-04-06:28270,2026-04-06,none,"Pay ZAR 28,270 in full on 2026-04-06. Paying earlier would take the balance below the ZAR 39,000 minimum."
request_76,802.12,affordable_later,wait,2024-07-15:4455.6,2024-07-15,none,"Pay USD 4,455.60 in full on 2024-07-15. Paying earlier would take the balance below the USD 1,800 minimum."
request_77,60700.0,affordable_now,full_payment,2025-11-05:60700,2025-11-05,none,"Pay INR 60,700 today. This leaves at least INR 84,090.17 available over the next 90 days."
request_78,24477.58,affordable_later,wait,2025-12-15:50200,2025-12-15,none,"Pay INR 50,200 in full on 2025-12-15. Paying earlier would take the balance below the INR 55,200 minimum."
